T,L,Lg,Lt,Ls,Lb,S,Sg,St,Ss,Sb,M,Mg,Mt,Ms,Mb,R,Rg,Rt,Rs,Rb,A,Ag,At,As,Ab,E,Eg,Et,Es,Eb,V,Vg,Vt,Vs,Vb,J,Jg,Jt,Js,Jb,U,Ug,Ut,Us,Ub,K,Kg,Kt,Ks,Kb
20181018, 253.95667618113572, 6,-4,-4, 2, 294.7445665903542, 7, 5, 11, 7, 181.43932569943985,-4, 5, 3, 6, 97.45645270871724, 2, 7, 12,-4, 290.08119137181546, 7, 2, 12, 11, 199.31508205060499,-4, 11, 5, 11,-193.4697084929528,-4, 11, 3, 2, 211.60224048560968, 5, 6, 11, 11, 249.93932896016338, 6, 12, 7, 3, 277.4564527087172, 7, 1, 12, 6
20181022, 257.3010469103559, 6,-4, 2, 1, 343.8013276923907, 6, 7, 11, 3, 185.4159367969303,-4, 5, 1, 12, 97.2446370836737, 2, 7, 3, 7, 292.1587496953421, 7, 2,-4, 7, 205.0034256185011,-4, 6, 3, 11,-191.3110986323125,-4, 11, 7,-4, 212.43311157821702, 5, 6, 11, 3, 250.21136124194726, 6, 12, 7,-4, 277.2446370836737, 7, 1, 12, 2
20181025, 259.7607728020867, 6,-4, 11, 1, 23.46520622314306, 5,-4, 7, 11, 188.4041967792171,-4, 11, 11, 2, 97.08577536489621, 2, 7, 3, 7, 293.76673826538223, 7, 5, 5, 3, 209.1214656503434,-4, 6, 1, 7,-189.5182176875099,-4, 11, 6, 12, 213.06461654328626, 5, 6, 11, 2, 250.42885854090923, 6, 12, 7,-4, 277.0857753648962, 7, 1, 12,-4
20181029, 262.9845150924316, 6,-4, 7,-4, 78.99992413809989, 3, 11, 2,-4, 192.3961462545161,-4, 11, 7, 6, 96.87395973986531, 2, 7, 3, 6, 295.971063610991, 7, 5, 11, 2, 214.36842880308205, 5, 7, 7,-4,-187.0965039919061,-4, 11, 11, 6, 213.91662065229968, 5, 7, 7, 3, 250.7360660510027, 6, 12, 7, 5, 276.8739597398653, 7, 1, 3, 7
20181101, 265.3658075304598, 6,-4, 3, 6, 121.23930337597525, 1, 12,-4, 1, 195.39569868979163,-4, 11,-4,-4, 96.71509802109689, 2, 7, 3, 11, 297.6657369567808, 7, 5, 6, 11, 218.06620665543147, 5, 7, 12, 3,-185.398815496002,-4, 5, 1, 3, 214.5623501392344, 5, 7, 7, 2, 250.97884562007675, 6, 12, 7, 11, 276.7150980210969, 7, 1, 3, 7
20181105, 268.49928588634316, 6, 1, 5, 11, 177.24214648184784, 3, 5, 6,-4, 199.40236071967638,-4, 11, 5, 6, 96.50328239607927, 2, 7, 3, 11, 299.9753700238114, 7, 5, 7, 6, 222.5467181226167, 5, 7, 5, 3,-183.47708062443135,-4, 5,-4, 11, 215.43116419159387, 5, 7, 7, 6, 251.31823896318465, 6, 12, 7, 6, 276.50328239607927, 7, 1, 3, 6
20181108, 270.8225537277957, 7, 1, 11,-4, 217.4727643015616, 5, 7, 12,-4, 202.41264747862098,-4, 6, 7, 12, 96.34442067732056, 2, 7, 3, 2, 301.7419004303103, 7, 5, 3, 7, 225.4240054626787, 5, 7, 6, 3,-182.38551441185425,-4, 5, 12, 6, 216.08788951036405, 5, 7, 3,-4, 251.5839793536121, 6, 12, 3, 3, 276.34442067732056, 7, 1, 3, 11
20181112, 273.8901636512511, 7, 1, 7,-4, 267.06001848560857, 6, 1, 1, 7, 206.43316104336748,-4, 6, 12, 7, 96.13260505231551, 2, 7, 3,-4, 304.13863241915226, 7, 5,-4, 7, 228.28340415155222, 5, 3, 3, 7,-181.47773603181992,-4, 5, 3, 6, 216.96922083984813, 5, 7, 3, 6, 251.95236893197796, 6, 12, 3,-4, 276.1326050523155, 7, 1, 3, 5
20181115, 276.1717936172251, 7, 1, 3, 11, 302.5295208706958, 7, 5, 12, 7, 209.45345016960786,-4, 6, 2, 2, 95.97374333356711, 2, 7, 3,-4, 305.9644497516457, 7, 5, 2, 6, 229.36621641261044, 5, 3,-4,-4,-181.22822527361276,-4, 5, 3, 11, 217.63372760977853, 5, 7, 12, 5, 252.23861439374613, 6, 12, 3, 2, 275.9737433335671, 7, 1, 3, 2
20181119, 279.1930974804579, 7, 1, 4, 6, 351.75898306126516, 6,-3, 1, 11, 213.48672715280668, 5, 7, 7, 7, 95.761927708575, 2, 7,-3, 12, 308.4328504983192, 7, 11, 11, 2,-228.8064953205057, 5,-3, 12, 2, 181.4619900345044, 4, 5,-3, 6, 218.52329120560893, 5, 7, 4, 1, 252.63265077307693, 6, 12,-3, 11, 275.761927708575, 7, 1,-3, 4
20181122, 281.4462008143366, 7, 2, 5, 7, 32.22015454844, 4, 1, 6, 4, 216.5161207365023, 5, 7,-3, 11, 95.60306598983595, 2, 7,-3,-3, 310.3073033877007, 7, 11, 6, 11,-226.5992070234182, 5, 7, 6, 11, 182.0387930584573, 4, 5, 12, 4, 219.1923622138298, 5, 7, 4, 11, 252.9368388856447, 6, 12,-3, 6, 275.60306598983595, 7, 1,-3, 4
20181126, 284.43679626751435, 7, 2, 6,-3, 89.47916180566513,-3, 6, 2, 2, 220.56085885516435, 5, 7, 1, 11, 95.39125036485677, 2, 7, 7, 6, 312.8342949741076, 7, 11,-3, 12,-221.69662154705009, 5, 7, 2,-3, 183.29533607883386, 4, 5, 4, 2, 220.0858579226899, 5, 7, 4,-3, 253.35304635430006, 6, 4, 4, 4, 275.3912503648568, 7, 1,-3, 12
20181129, 286.67177443516255, 7, 2, 7, 4, 132.19013825377112, 1, 12,-3, 1, 223.59830456264945, 5, 7, 11, 7, 95.23238864612715, 2, 7, 7, 6, 314.74835190420976, 7, 11, 12, 5,-217.71442376120524, 5, 7, 12, 11, 184.56709382824187, 4, 5, 4,-3, 220.75625616316927, 5, 7, 1,-3, 253.67253090927437, 6, 4, 4, 4, 275.23238864612716, 7, 1,-3,-3
20181203, 289.64394890928105, 7, 2,-3, 7, 186.98827523452113, 4, 11, 11, 6, 227.65300517151806, 5,-3,-3, 5, 95.02057302116123, 2, 7, 7, 11, 317.3228389386259, 7, 11, 4, 12,-214.06324270575317, 5, 7, 7, 12, 186.6489644949365, 4, 5, 2, 1, 221.6493463783263, 5, 7, 2,-3, 254.10733520223096, 6, 4, 4, 5, 275.0205730211612, 7, 1, 7, 6
20181206, 291.8689191337311, 7, 2, 4, 6, 226.048624928186, 5, 7, 6, 4, 230.6973113977044, 5, 3, 4, 6, 94.86171130244131, 2, 7, 7, 11, 319.2688324483423, 7, 11, 5, 11, 213.24596583157418, 5, 6, 11, 5, 188.466088485041, 4, 11, 11, 2, 222.3177986191031, 5, 7, 5, 6, 254.4394050868773, 6, 4, 4, 11, 274.86171130244134, 7, 1, 7, 6
20181210, 294.8321432179253, 7, 5, 11, 7, 275.03125901653533, 7, 1, 7, 6, 234.76030202986306, 5, 3, 11, 7, 94.64989567748826, 2, 7, 7, 2, 321.88138870267056, 7, 6, 7, 7, 214.5082442410145, 5, 7, 7, 1, 191.18479419068547, 4, 11, 7, 12, 223.20608686748406, 5, 7, 11, 6, 254.88915627971159, 6, 4, 4, 7, 274.64989567748825, 7, 1, 7, 11
20181213, 297.053261330651, 7, 5, 6, 4, 310.4460803983551, 7, 11, 7, 7, 237.81015649708183, 5, 3, 6, 11, 94.49103395877837, 2, 7, 7, 1, 323.8528001632808, 7, 6, 7, 6, 216.7579690849314, 5, 7, 3, 11, 193.4184671647615, 4, 11, 3, 2, 223.86926802651084, 5, 7, 11, 3, 255.2310511093433, 6, 4, 4, 3, 274.49103395877836, 7, 1, 7, 5
