2015-08-17	2	6	20	21	27	36	31
2015-08-13	8	10	12	34	38	48	19
2015-08-10	6	7	8	12	37	45	1
2015-08-06	11	15	20	33	38	40	8
2015-08-03	18	21	23	25	26	41	40
2015-07-30	2	10	13	21	25	49	7
2015-07-27	6	9	40	42	43	46	37
2015-07-23	4	13	18	24	34	37	48
2015-07-20	3	17	25	28	34	46	27
2015-07-16	2	10	30	32	42	48	19
2015-07-13	31	33	34	35	37	42	6
2015-07-09	5	24	33	38	42	44	49
2015-07-06	1	6	9	18	21	35	26
2015-07-02	7	12	13	21	30	32	5
2015-06-29	2	14	15	26	29	31	8
2015-06-25	14	29	36	38	39	41	20
2015-06-22	3	18	22	33	47	49	9
2015-06-18	5	20	28	35	39	46	15
2015-06-15	9	21	26	27	29	48	20
2015-06-11	7	11	13	16	38	46	41
2015-06-08	20	31	35	38	42	49	46
2015-06-04	3	6	8	14	18	41	31
2015-06-01	5	9	14	29	32	36	28
2015-05-28	5	13	20	26	31	38	6
2015-05-25	13	17	19	24	26	43	25
2015-05-21	6	20	22	35	36	41	8
2015-05-18	17	23	32	33	41	45	15
2015-05-14	8	17	19	45	47	48	14
2015-05-11	3	6	7	20	21	23	33
2015-05-07	8	10	17	24	32	43	26
2015-05-04	6	11	17	22	25	36	42
2015-04-30	18	19	28	37	46	48	4
2015-04-27	2	14	30	31	46	47	12
2015-04-23	1	9	15	28	42	45	40
2015-04-20	9	16	17	25	27	36	7
2015-04-16	3	4	18	32	35	48	6
2015-04-13	6	13	31	32	40	43	3
2015-04-09	6	12	21	24	25	43	29
2015-04-06	3	18	21	42	45	49	25
2015-04-02	11	19	22	29	42	46	2
2015-03-30	11	12	30	38	45	47	6
2015-03-26	5	21	30	33	39	47	43
2015-03-23	1	5	14	23	40	49	33
2015-03-19	3	15	26	29	38	45	49
2015-03-16	7	10	19	41	43	45	31
2015-03-12	14	15	19	20	36	47	10
2015-03-09	9	11	38	39	44	47	3
2015-03-05	5	10	11	38	44	47	20
2015-03-02	7	12	24	27	35	44	20
2015-02-27	2	13	19	28	41	42	14
2015-02-23	1	5	14	18	24	26	29
2015-02-19	2	17	22	36	37	45	23
2015-02-16	19	22	33	36	37	46	8
2015-02-12	12	13	26	32	42	47	39
2015-02-09	4	15	22	31	32	36	6
2015-02-05	8	10	25	31	45	48	2
2015-02-02	8	18	20	29	39	41	38
2015-01-29	6	15	38	40	45	49	27
2015-01-26	6	23	24	30	36	46	31
2015-01-22	5	12	26	31	40	47	25
2015-01-19	21	24	25	31	33	36	13
2015-01-15	2	3	9	16	33	37	46
2015-01-12	25	32	41	43	47	48	7
2015-01-08	5	7	9	15	34	38	21
2015-01-05	1	22	27	34	35	37	20
2015-01-01	1	4	18	31	48	49	21
