T,L,S,M,R,A,E,V,J,U,Ph,il,age,dist,adia,sundist,sunadia
20180917,223.86246677608304,251.26548731518798,150.92565346884982,99.09802380305658,277.5829849317029,148.15806071495211,191.41512379834734,205.7506429501186,248.61173383518926,0.2641119032425599,0.5442757825469478,7.799379980147996,401418.97267187655,0.49613538885416275,150324221.61541533,0.530506335060391
20180920,227.23808494985875,286.74443703273545,153.85528550161683,98.93916208422999,278.43474885348377,153.71606405074388,192.9700556299706,206.26099277834248,248.67535357934915,0.35482328386246487,0.8060146675575885,10.478140449829333,405500.05173370906,0.4911421274756993,150200563.32822475,0.530943094439209
20180924,231.54265456808074,335.2960863569824,157.7690230974685,98.72734645913472,279.7115019296022,160.92071606791256,194.68800178534514,206.96277079073212,248.78264875037948,0.47821255786402617,0.9953222834106665,14.121898347893257,397751.8403939704,0.5007095828965499,150033052.43071565,0.5315358888457403
20180927,234.6385792147049,13.897041007917469,160.71009100973458,98.56848474031784,280.76765023217195,166.15987711032628,195.6755011631386,207.50424038355504,248.8797733429523,0.5762529974078159,0.9437023826238116,17.017090242067315,384797.5297598532,0.517566103463013,149905868.53003466,0.5319868572324903
20181001,238.60982833621608,68.13168150227186,164.6393107221694,98.35666911523522,282.29699458503825,172.9306003447107,196.53849197323103,208.24515221419074,249.03111534056978,0.7148483136224968,0.6095366313500951,21.109891518177594,367864.2997116222,0.5413902851027538,149734855.78643507,0.5325944414288113
20181004,241.4833067517925,110.60597545812863,167.59212767059677,98.19780739642864,283.52812705622813,177.85599522281132,196.8113219621436,208.81422193736245,249.16071242136434,0.824126603770128,0.27545294869416764,24.33694375618099,363310.7618719648,0.548175774022862,149605958.77380806,0.53305331240564
20181008,245.19138925579503,168.227499337911,171.5371383921713,97.9859917713593,285.27242972788576,184.23415026770334,196.63530633717141,209.58962802780684,249.35447517600642,0.9738746512117764,0.006721226574318506,28.759091750813432,372717.83081868157,0.5343403015158825,149433895.84755436,0.5336670868927571
20181011,247.89034817665987,209.37032717821484,174.50185259457294,97.8271300525618,286.6517367258966,188.88476321037848,196.08410301598946,210.18285728064063,249.51515213270397,0.081116534575267,0.06354727392512743,2.3954190176892083,386839.06918553886,0.514834653385225,149305144.70567662,0.53412728702153
20181015,251.39312153862957,259.2478096526167,178.46273815966205,97.61531442750504,288.5773358643632,194.91671352484505,194.8021158654401,210.98821989852863,249.74926800858807,0.21003985803642233,0.3757763440852853,6.2026006540791805,402388.4573321274,0.49494003734708736,149134528.0856506,0.5347383527052793
20181018,253.95667618113572,294.7445665903542,181.43932569943985,97.45645270871724,290.08119137181546,199.31508205060499,193.4697084929528,211.60224048560968,249.93932896016338,0.3006435807506528,0.6564301399693105,8.878181922429894,405383.7124435191,0.4912830781965571,149007802.13625073,0.5351931290623263
